"LYN",  "LFLY", "145",                                                          
"MAA",  "VOMM", "1130",                                                         
"KHI",  "OPKC", "850",                                                          
"KRT",  "HSSS", "630",                                                          
"KWI",  "OKBK", "710",                                                          
"DEL",  "VIDP", "900",                                                          
"SIN",  "WSSS", "1330",                                                         
"BRE",  "EDDW", "200",                                                          
"HOU",  "KHOU", "905",                                                          
"LCY",  "EGLC", "30",                                                           
"SZF",  "LTFH", "400",                                                          
"FAB",  "EGLF", "10",                                                           
"DMM",  "OEDF", "700",                                                          
"GCM",  "MWCR", "930",                                                          
"REK",  "02DH", "320",                                                          
"KBP",  "UKBB", "330",                                                          
"HYD",  "VOHS", "955",                                                          
"ICN",  "RKSI", "1155",                                                         
"CJU",  "RKPC", "1200",                                                         
"HAN",  "VVNB", "1245",                                                         
"IKA",  "OIIE", "630",                                                          
"LIN",  "LIML", "205",                                                          
"VRN",  "LIPN", "205",                                                          
"BWN",  "WBSB", "1630",                                                         
"GYD",  "UBBB", "605",                                                          
"PLS",  "MBPV", "945",                                                          
"MEX",  "MMMX", "1025",                                                         
"OSL",  "ENGM", "215",                                                          
"PDX",  "KPDX", "1300",                                                         
"KIN",  "MKJP", "910",                                                          
"TFN",  "GCXO", "410",                                                          
"PHL",  "KPHL", "705",                                                          
"VIE",  "LOWW", "230",                                                          
"BOS",  "KBOS", "630",                                                          
"ABJ",  "DIAP", "650",                                                          
"ACC",  "DGAA", "630",                                                          
"ADJ",  "OJAM", "600",                                                          
"ALY",  "HEAX", "510",                                                          
"AMM",  "OJAI", "540",                                                          
"STL",  "KSTL", "825",                                                          
"TLL",  "EETN", "255",                                                          
"PTA",  "PALJ", "830",                                                          
"RDU",  "KRDU", "730",                                                          
"OY1",  "EVRS", "300",                                                          
"ANC",  "PANC", "1230",                                                         
"CCU",  "VECC", "1030",                                                         
"FLR",  "LIRQ", "230",                                                          
"DTM",  "EDLW", "135",                                                          
"GLA",  "EGPF", "115",                                                          
"GRO",  "LEGE", "210",                                                          
"GVA",  "LSGG", "145",                                                          
"HAJ",  "EDDV", "135",                                                          
"HEL",  "EFHK", "310",                                                          
"HKG",  "VHHH", "1300",                                                         
"CPT",  "FACT", "1155",                                                         
"BRR",  "EGPR", "200",                                                          
"GIB",  "LXGB", "250",                                                          
"DAC",  "VGZR", "1145",                                                         
"DLA",  "FKKD", "700",                                                          
"FNA",  "GFLL", "500",                                                          
"IEV",  "UKKK", "335",                                                          
"SNN",  "EINN", "120",                                                          
"NOC",  "EIKN", "120",                                                          
"BLL",  "EKBI", "135",                                                          
"GDN",  "EPGD", "230",                                                          
"CAN",  "ZGGG", "1215",                                                         
"SAC",  "KSAC", "1130",                                                         
"SAH",  "OYSN", "750",                                                          
"SAN",  "KSAN", "1020",                                                         
"SAT",  "KSAT", "1045",                                                         
"SCL",  "SCEL", "1650",                                                         
"SJC",  "KSJC", "1015",                                                         
"BEG",  "LYBE", "300",                                                          
"MAN",  "EGCC", "55",                                                           
"JFK",  "KJFK", "700",                                                          
"LGW",  "EGKK", "30",                                                           
"LBA",  "EGNM", "110",                                                          
"LHR",  "EGLL", "30",                                                           
"ABZ",  "EGPD", "130",                                                          
"DUB",  "EIDW", "115",                                                          
"EMA",  "EGNX", "45",                                                           
"MUC",  "EDDM", "200",                                                          
"UVF",  "TLPL", "810",                                                          
"WAW",  "EPWA", "240",                                                          
"BGI",  "TBPB", "810",                                                          
"MJV",  "LELC", "235",                                                          
"GBE",  "FBSK", "1045",                                                         
"KUL",  "WMKK", "1255",                                                         
"ADD",  "HAAB", "835",                                                          
"PLH",  "EGHD", "100",                                                          
"SEL",  "02FU", "1235",                                                         
"HND",  "RJTT", "1235",                                                         
"EVN",  "UDYZ", "500",                                                          
"THR",  "OIII", "615",                                                          
"HAV",  "MUHA", "900",                                                          
"MSQ",  "UMMS", "305",                                                          
"IST",  "LTFM", "400",                                                          
"YYT",  "CYYT", "455",                                                          
"LIS",  "LPPT", "235",                                                          
"LSI",  "EGPB", "200",                                                          
"LTN",  "EGGW", "30",                                                           
"LYS",  "LFLL", "145",                                                          
"MAD",  "LEMD", "215",                                                          
"MIA",  "KMIA", "825",                                                          
"MME",  "EGNV", "115",                                                          
"LAX",  "KLAX", "1015",                                                         
"LJU",  "LJLJ", "220",                                                          
"LCA",  "LCLK", "500",                                                          
"HUY",  "EGNJ", "45",                                                           
"GRU",  "SBGR", "1115",                                                         
"PRG",  "LKPR", "210",                                                          
"SHA",  "ZSSS", "1230",                                                         
"SXB",  "LFST", "125",                                                          
"MAO",  "SBEG", "950",                                                          
"AGA",  "GMAD", "345",                                                          
"AGP",  "LEMG", "245",                                                          
"AHO",  "LIEA", "220",                                                          
"ALC",  "LEAL", "235",                                                          
"AMS",  "EHAM", "115",                                                          
"ATH",  "LGAV", "400",                                                          
"ATL",  "KATL", "815",                                                          
"NAP",  "LIRN", "300",                                                          
"NCE",  "LFMN", "205",                                                          
"BLQ",  "LIPE", "215",                                                          
"FAE",  "EKVG", "200",                                                          
"FRU",  "UCFM", "900",                                                          
"GND",  "TGPY", "845",                                                          
"IBZ",  "LEIB", "230",                                                          
"VBS",  "LIPO", "205",                                                          
"LAD",  "FNLU", "900",                                                          
"DEN",  "KDEN", "910",                                                          
"NRT",  "RJAA", "1225",                                                         
"NCL",  "EGNT", "105",                                                          
"OPO",  "LPPR", "215",                                                          
"ORD",  "KORD", "800",                                                          
"ORK",  "EICK", "120",                                                          
"PFO",  "LCPH", "445",                                                          
"PIK",  "EGPK", "110",                                                          
"SOF",  "LBSF", "330",                                                          
"SOU",  "EGHI", "30",                                                           
"CTA",  "LICC", "320",                                                          
"PHX",  "KPHX", "950",                                                          
"NTE",  "LFRS", "105",                                                          
"OTP",  "LROP", "330",                                                          
"BHX",  "EGBB", "40",                                                           
"BIO",  "LEBB", "150",                                                          
"HAM",  "EDDH", "135",                                                          
"NUE",  "EDDN", "210",                                                          
"PAD",  "EDLP", "130",                                                          
"EIN",  "EHEH", "125",                                                          
"STN",  "EGSS", "30",                                                           
"STR",  "EDDS", "150",                                                          
"SVO",  "UUEE", "345",                                                          
"SZG",  "LOWS", "155",                                                          
"TFS",  "GCTS", "410",                                                          
"TIP",  "HLLT", "345",                                                          
"PMI",  "LEPA", "230",                                                          
"PSA",  "LIRP", "220",                                                          
"PUY",  "LDPL", "215",                                                          
"DPS",  "WADD", "1545",                                                         
"GIG",  "SBGL", "1100",                                                         
"EZE",  "SAEZ", "1255",                                                         
"AMD",  "VAAH", "900",                                                          
"ALA",  "UAAA", "755",                                                          
"INV",  "EGPE", "145",                                                          
"CIA",  "LIRA", "235",                                                          
"AAR",  "EKAH", "140",                                                          
"EBU",  "LFMH", "140",                                                          
"CVG",  "KCVG", "755",                                                          
"EBJ",  "EKEB", "130",                                                          
"IAD",  "KIAD", "700",                                                          
"DNR",  "LFRD", "110",                                                          
"YHZ",  "CYHZ", "545",                                                          
"CUN",  "MMUN", "925",                                                          
"RJK",  "LDRI", "215",                                                          
"SYD",  "YSSY", "2140",                                                         
"KIR",  "EIKY", "115",                                                          
"PVG",  "ZSPD", "1220",                                                         
"MNL",  "RPLL", "1445",                                                         
"MPL",  "LFMT", "155",                                                          
"MRS",  "LFML", "200",                                                          
"CWL",  "EGFF", "50",                                                           
"DBV",  "LDDU", "245",                                                          
"DFW",  "KDFW", "915",                                                          
"DND",  "EGPN", "120",                                                          
"DUS",  "EDDL", "130",                                                          
"EDI",  "EGPH", "115",                                                          
"FCO",  "LIRF", "235",                                                          
"FRA",  "EDDF", "130",                                                          
"BOM",  "VABB", "950",                                                          
"ACE",  "GCRR", "345",                                                          
"MMX",  "ESMS", "155",                                                          
"RMI",  "LIPR", "215",                                                          
"BEN",  "HLLB", "415",                                                          
"GBA",  "",     "40",                                                           
"MLA",  "LMML", "340",                                                          
"OLB",  "LIEO", "215",                                                          
"PIS",  "LFBI", "120",                                                          
"MSP",  "KMSP", "815",                                                          
"SPU",  "LDSP", "235",                                                          
"YMX",  "CYMX", "630",                                                          
"TOS",  "ENTC", "300",                                                          
"BCN",  "LEBL", "220",                                                          
"BFS",  "EGAA", "130",                                                          
"BGO",  "ENBR", "200",                                                          
"YYZ",  "CYYZ", "715",                                                          
"ZRH",  "LSZH", "145",                                                          
"RTM",  "EHRD", "120",                                                          
"RUH",  "OERK", "650",                                                          
"SCQ",  "LEST", "205",                                                          
"LED",  "ULLI", "320",                                                          
"FNI",  "LFTW", "200",                                                          
"DTW",  "KDTW", "730",                                                          
"DOH",  "OTHH", "730",                                                          
"EBB",  "HUEN", "845",                                                          
"MRU",  "FIMP", "1215",                                                         
"MSY",  "KMSY", "945",                                                          
"AUH",  "OMAA", "745",                                                          
"VST",  "ESOW", "210",                                                          
"DLM",  "LTBS", "400",                                                          
"PGF",  "LFMP", "200",                                                          
"TLS",  "LFBO", "155",                                                          
"SEA",  "KSEA", "920",                                                          
"CPH",  "EKCH", "155",                                                          
"LUN",  "FLLS", "950",                                                          
"AYT",  "LTAI", "415",                                                          
"CAG",  "LIEE", "235",                                                          
"ISB",  "OPRN", "825",                                                          
"CAS",  "GMMC", "320",                                                          
"CMN",  "GMMN", "315",                                                          
"MCO",  "KMCO", "805",                                                          
"DME",  "UUDD", "405",                                                          
"CGN",  "EDDK", "120",                                                          
"JED",  "OEJN", "630",                                                          
"KEF",  "BIKF", "300",                                                          
"KOI",  "EGPA", "150",                                                          
"BRS",  "EGGD", "40",                                                           
"BRU",  "EBBR", "115",                                                          
"MCT",  "OOMS", "835",                                                          
"BIQ",  "LFBZ", "200",                                                          
"HNL",  "PHNL", "1835",                                                         
"SYY",  "EGPO", "150",                                                          
"YVR",  "CYVR", "920",                                                          
"TRS",  "LIPQ", "210",                                                          
"ADB",  "LTBJ", "400",                                                          
"ATQ",  "VIAR", "915",                                                          
"MDW",  "KMDW", "800",                                                          
"BSL",  "LFSB", "135",                                                          
"MST",  "EHBK", "115",                                                          
"YUL",  "CYUL", "630",                                                          
"YYC",  "CYYC", "850",                                                          
"PIT",  "KPIT", "715",                                                          
"NAS",  "MYNN", "840",                                                          
"BEY",  "OLBA", "505",                                                          
"LAS",  "KLAS", "950",                                                          
"LBV",  "FOOL", "700",                                                          
"LRH",  "LFBH", "130",                                                          
"BAH",  "OBBI", "725",                                                          
"DXB",  "OMDB", "745",                                                          
"LOS",  "DNMM", "625",                                                          
"AOI",  "LIPY", "235",                                                          
"ASB",  "UTAA", "640",                                                          
"DAR",  "HTDA", "1000",                                                         
"LXR",  "HELX", "535",                                                          
"KRK",  "EPKK", "235",                                                          
"GOT",  "ESGG", "210",                                                          
"ARN",  "ESSA", "240",                                                          
"BLR",  "VOBL", "1000",                                                         
"SJU",  "TJSJ", "840",                                                          
"HRE",  "FVHA", "1020",                                                         
"CCF",  "LFMK", "200",                                                          
"OVD",  "LEAS", "145",                                                          
"PEK",  "ZBAA", "1055",                                                         
"SFO",  "KSFO", "1015",                                                         
"SKG",  "LGTS", "330",                                                          
"SKP",  "LWSK", "330",                                                          
"MEL",  "YMML", "2130",                                                         
"BOD",  "LFBD", "145",                                                          
"IAH",  "KIAH", "905",                                                          
"EWR",  "KEWR", "650",                                                          
"ALG",  "DAAG", "300",                                                          
"BOG",  "SKBO", "1015",                                                         
"CAI",  "HECA", "505",                                                          
"ANU",  "TAPA", "750",                                                          
"POS",  "TTPP", "750",                                                          
"ACI",  "EGJA", "100",                                                          
"VNO",  "EYVI", "300",                                                          
"WDH",  "FYWH", "1015",                                                         
"HAU",  "ENHD", "215",                                                          
"MXP",  "LIMC", "200",                                                          
"TLV",  "LLBG", "525",                                                          
"TNG",  "GMTT", "245",                                                          
"TRN",  "LIMF", "140",                                                          
"TUN",  "DTTA", "255",                                                          
"VCE",  "LIPZ", "210",                                                          
"YOW",  "CYOW", "645",                                                          
"IOM",  "EGNS", "110",                                                          
"TXL",  "EDDT", "200",                                                          
"VLC",  "LEVC", "225",                                                          
"SVQ",  "LEZL", "245",                                                          
"ORY",  "LFPO", "105",                                                          
"GOA",  "LIMJ", "210",                                                          
"LLW",  "FWKI", "1015",                                                         
"CMB",  "VCBI", "1130",                                                         
"RAK",  "GMMX", "330",                                                          
"LUX",  "ELLX", "115",                                                          
"LDY",  "EGAE", "125",                                                          
"NQY",  "EGHQ", "110",                                                          
"PSR",  "LIBP", "230",                                                          
"XRY",  "LEJR", "245",                                                          
"BUD",  "LHBP", "240",                                                          
"NHT",  "EGWU", "10",                                                           
"TAS",  "UTTT", "725",                                                          
"GCI",  "EGJB", "100",                                                          
"SGN",  "VVTS", "1310",                                                         
"JNB",  "FAOR", "1110",                                                         
"ISL",  "LTBA", "400",                                                          
"CLT",  "KCLT", "755",                                                          
"ABQ",  "KABQ", "845",                                                          
"TPE",  "RCTP", "1430",                                                         
"TAB",  "TTCP", "825",                                                          
"ABV",  "DNAA", "635",                                                          
"NQZ",  "",     "650",                                                          
"VKO",  "UUWW", "335",                                                          
"SVG",  "ENZV", "150",                                                          
"MBJ",  "MKJS", "910",                                                          
"KTM",  "VNKT", "1030",                                                         
"FNC",  "LPMA", "345",                                                          
"SEZ",  "FSIA", "930",                                                          
"DAM",  "OSDI", "540",                                                          
"HBE",  "HEBA", "505",                                                          
"NGO",  "RJGG", "1230",                                                         
"CDG",  "LFPG", "105",                                                          
"KIX",  "RJBB", "1220",                                                         
"PER",  "YPPH", "1905",                                                         
"JER",  "EGJJ", "100",                                                          
"CCS",  "SVMI", "855",                                                          
"BDA",  "TXKF", "700",                                                          
"LHE",  "OPLA", "825",                                                          
"NBO",  "HKJK", "915",                                                          
"ALP",  "OSAP", "510",                                                          
"ORN",  "DAOO", "245",                                                          
"FAO",  "LPFR", "245",                                                          
"BWI",  "KBWI", "720",                                                          
"AKL",  "NZAA", "2300",                                                         
"CLE",  "KCLE", "725",                                                          
"BKK",  "VTBS", "1210",                                                         
"YEG",  "CYEG", "830",                                                          
"TBS",  "UGTB", "540",                                                          
"ADE",  "OYAA", "800",                                                          
